learning_rate,epochs,batch_size,final_train_loss,val_macro_f1,pred_class1_rate,runtime_s
1.0,300,64,0.33739351109723553,0.7352117359951704,0.6665,15.9
5.0,300,256,0.32506301534358956,0.7339725276105926,0.66575,17.4
1.0,300,256,0.4213217611093893,0.7325796330858296,0.70075,17.3
10.0,300,256,0.2911573534959753,0.7243148815372857,0.66475,17.3
50.0,300,256,0.3289682336654882,0.721395655036208,0.59975,17.4
5.0,300,64,0.26244730827217777,0.7209088245527171,0.638,15.9
0.1,500,64,0.4482628310971952,0.7192116703399332,0.728,27.6
20.0,300,256,0.2634924502129725,0.713924570529948,0.67375,17.4
10.0,300,64,0.24264860823487328,0.7133648809227843,0.61925,15.8
20.0,300,64,0.24315997314704535,0.704521885348749,0.58025,15.9
0.1,300,64,0.4823327178389309,0.6971411298811734,0.76175,16.3
50.0,300,64,0.5065883287176909,0.6862140583718013,0.49825,15.9
0.1,500,256,0.5384497257746361,0.6311058457539935,0.8495,30.3
0.1,100,64,0.5524152499522641,0.6132194853296673,0.8665,5.5
0.1,300,256,0.5680183616406593,0.5645657137085967,0.90825,18.9
0.01,500,64,0.5889187733696211,0.4937134057310708,0.95,26.7
0.01,300,64,0.6103701836112332,0.4193919108594877,0.98625,16.3
0.1,100,256,0.6165471807600593,0.4031980325779375,0.99325,5.9
0.001,300,256,0.6596841411945329,0.38471004460852176,1.0,17.4
0.001,500,64,0.6502880498311926,0.38471004460852176,1.0,26.4
0.001,500,256,0.6585045483768398,0.38471004460852176,1.0,28.9
0.001,100,256,0.6623406892508442,0.38471004460852176,1.0,5.8
0.001,100,64,0.6591100370331744,0.38471004460852176,1.0,5.3
0.01,500,256,0.6357946289838886,0.38471004460852176,1.0,29.0
0.01,300,256,0.6450957506852261,0.38471004460852176,1.0,18.8
0.01,100,256,0.6556399033339266,0.38471004460852176,1.0,6.0
0.01,100,64,0.64046994015759,0.38471004460852176,1.0,5.4
0.001,300,64,0.6545800835535837,0.38471004460852176,1.0,15.8
