stage,n_estimators,max_depth,max_features,class_weight,training_macro_f1,validation_macro_f1,fit_seconds
baseline,200,,sqrt,,1.0,0.7147450317844901,59.93504108302295
n_estimators,200,,sqrt,,1.0,0.7147450317844901,59.93504108302295
n_estimators,500,,sqrt,,1.0,0.7188756726171565,89.86853020900162
n_estimators,800,,sqrt,,1.0,0.7151644132641231,84.31987133296207
max_depth,200,,sqrt,,1.0,0.7147450317844901,59.93504108302295
max_depth,200,20.0,sqrt,,0.5326484561884223,0.4633861882428844,11.670870749978349
max_depth,200,40.0,sqrt,,0.8310718079321202,0.5465898757418002,20.795599750010297
max_features,200,,log2,,1.0,0.6504374133910316,17.47198470798321
max_features,200,,100,,1.0,0.7172453522204771,91.54783370898804
max_features,200,,sqrt,,1.0,0.7147450317844901,59.93504108302295
class_weight,200,,sqrt,balanced,1.0,0.7153666226328936,81.55416858301032
class_weight,200,,sqrt,,1.0,0.7147450317844901,59.93504108302295
