config,learning_rate,epochs,batch_size,l2,class_weight,shuffle,final_train_loss,val_macro_f1,best_threshold,val_macro_f1_tuned,runtime_s
shuffle + l2=1e-05 + lr=0.5,0.5,300,64,1e-05,None,True,0.3947790288743591,0.722654648176881,0.6274662224224309,0.7439638198170828,20.1
shuffle + l2=1e-05 + balanced,1.0,300,64,1e-05,balanced,True,0.37921283336211875,0.735278887475671,0.4759680855971533,0.7410294643525243,19.7
shuffle + l2=1e-05,1.0,300,64,1e-05,None,True,0.3681929201931245,0.7224984390537197,0.5867929566482442,0.7394159407659356,19.4
shuffle + l2=1e-05 + lr=2.0,2.0,300,64,1e-05,None,True,0.3543953739220855,0.7166975348905316,0.6075880710138516,0.739262268662955,19.1
shuffle + l2=1e-05 + epochs=500,1.0,500,64,1e-05,None,True,0.356058983484964,0.7373510418960929,0.5301539732681407,0.7390547811395127,32.6
shuffle + l2=0.0001,1.0,300,64,0.0001,None,True,0.4860144112679718,0.6444429804494503,0.6139593348873853,0.7388780995704061,19.3
shuffle,1.0,300,64,0.0,None,True,0.3387088944076965,0.7254360224999722,0.6314372243918824,0.738640546799628,21.1
shuffle + l2=1e-05 + epochs=800,1.0,800,64,1e-05,None,True,0.3483325749335235,0.7331023173308238,0.5818527484025589,0.7377356169918474,55.3
"baseline (no shuffle, no L2)",1.0,300,64,0.0,None,False,0.33739351109723553,0.7352117359951704,0.5856210871173885,0.737591963236136,18.3
shuffle + l2=0.001,1.0,300,64,0.001,None,True,0.608249538551803,0.4004805288597897,0.6503813489107431,0.6943336403890854,19.2
shuffle + l2=0.01,1.0,300,64,0.01,None,True,0.6565266383770858,0.38471004460852176,0.6641572339688614,0.6567538801598648,19.3
