trial,nb_log_count_ratio,word_weight,character_weight,style_weight,alpha,learning_rate,batch_size,epochs_requested,epochs_run,default_validation_macro_f1,best_threshold,tuned_validation_macro_f1,fit_seconds
lr50,False,1.0,1.0,0.1,0.0001,50.0,256,120,120,0.8427353097623769,0.06731596916913998,0.8462738938555167,10.15487220796058
lr35,False,1.0,1.0,0.1,0.0001,35.0,256,120,120,0.8413299435639459,0.0010421721637249013,0.8419260278035865,9.069268958002795
batch128,False,1.0,1.0,0.1,0.0001,20.0,128,120,120,0.8363654672395273,-0.06863164871931075,0.8393597573300215,9.588975083024707
word125,False,1.25,1.0,0.1,0.0001,20.0,256,120,120,0.8380928859021081,-0.014703827574849036,0.8393045688948565,9.028094000008423
char150,False,1.0,1.5,0.1,0.0001,20.0,256,120,120,0.8386553844561018,0.05434551969170571,0.8389660314242,8.856558999978006
char125,False,1.0,1.25,0.1,0.0001,20.0,256,120,120,0.8357664042077382,0.006823600381612944,0.8361588182043806,9.218103832972702
lowest_alpha,False,1.0,1.0,0.1,1e-05,20.0,256,120,120,0.8340042546228112,-0.020507532674819185,0.8347328817652367,9.226810917025432
lower_alpha,False,1.0,1.0,0.1,3e-05,20.0,256,120,120,0.8335913191184736,-0.07253195516765132,0.8342720946916915,8.945596332952846
style075,False,1.0,1.0,0.075,0.0001,20.0,256,120,120,0.8315723402029501,-0.019726292267441756,0.8338730817901474,9.210897167038638
baseline,False,1.0,1.0,0.1,0.0001,20.0,256,100,100,0.8288637486977806,-0.06747766181826585,0.8323626979547392,7.610567792027723
style05,False,1.0,1.0,0.05,0.0001,20.0,256,120,120,0.829629072178741,-0.005818105451762674,0.8307691392223973,9.30451908300165
nbsvm_low_alpha,True,1.0,1.0,0.1,3e-05,20.0,256,120,120,0.8272547728768926,0.0516772094368935,0.8286766401710514,9.07001633301843
nbsvm_char125,True,1.0,1.25,0.1,0.0001,20.0,256,120,87,0.8258262236565461,-0.02657938115298748,0.8280293481563732,6.725302667007782
higher_alpha,False,1.0,1.0,0.1,0.0003,20.0,256,100,90,0.8228977668230004,-0.06808618072420362,0.8262368969864956,7.4865756669896655
nbsvm,True,1.0,1.0,0.1,0.0001,20.0,256,120,72,0.8233322843687718,0.0025984257459640563,0.823172065863282,5.635111458017491
lr10,False,1.0,1.0,0.1,0.0001,10.0,256,120,120,0.8143808139010807,-0.1255882754176855,0.8203824646324914,9.528365166974254
batch512,False,1.0,1.0,0.1,0.0001,20.0,512,120,55,0.8114019227651907,-0.12045815430581563,0.8192466462214245,4.5790514999534935
nbsvm_style05,True,1.0,1.0,0.05,0.0001,20.0,256,120,73,0.8161466414387885,-0.04226628355681893,0.8171247376454971,5.923224208003376
nbsvm_lr10,True,1.0,1.0,0.1,0.0001,10.0,256,120,63,0.8019452777425644,0.021037392020225542,0.8025204020292271,5.0947642080136575
