trial,nb_log_count_ratio,word_weight,character_weight,style_weight,alpha,learning_rate,batch_size,epochs_requested,epochs_run,default_validation_macro_f1,best_threshold,tuned_validation_macro_f1,fit_seconds
lr50_word125,False,1.25,1.0,0.1,0.0001,50.0,256,150,150,0.8466762044641545,0.016536216437816796,0.8501468146420783,11.119374667003285
lr100,False,1.0,1.0,0.1,0.0001,100.0,256,150,150,0.8446526813059682,0.10849744219332932,0.849566026012172,11.31943566701375
lr50_both125,False,1.25,1.25,0.1,0.0001,50.0,256,150,150,0.8479218413644644,0.0586254822090268,0.8490948215313345,11.005317584029399
lr50_batch128,False,1.0,1.0,0.1,0.0001,50.0,128,150,141,0.8452796701975114,0.07229697868227954,0.8481982259441381,10.696751124982256
lr50_alpha01,False,1.0,1.0,0.1,1e-05,50.0,256,150,117,0.8459399936275179,0.06308609843254095,0.8476932374027922,8.44227358396165
lr50_epoch200,False,1.0,1.0,0.1,0.0001,50.0,256,200,137,0.84326215964592,0.06784565299749394,0.846795884029182,10.10660745901987
lr50_char125,False,1.0,1.25,0.1,0.0001,50.0,256,150,150,0.8456187989777004,0.060317747443914424,0.8464628821074918,11.085039166966453
lr50_char150,False,1.0,1.5,0.1,0.0001,50.0,256,150,75,0.842986435073865,0.016027787066996126,0.845562485517358,5.536669457971584
lr50_style075,False,1.0,1.0,0.075,0.0001,50.0,256,150,145,0.8445607867437224,0.045901005417108544,0.8454166325818189,10.969012791989371
lr70,False,1.0,1.0,0.1,0.0001,70.0,256,150,64,0.8418507260633166,0.08288821518421174,0.8447079233345203,4.7004325409652665
lr50_style15,False,1.0,1.0,0.15,0.0001,50.0,256,150,150,0.8435572298875893,0.04808603465557095,0.8445403518705028,11.227594625030179
lr60,False,1.0,1.0,0.1,0.0001,60.0,256,150,63,0.8423206089267463,0.08626495022326701,0.843308806990148,4.603551125037484
lr85,False,1.0,1.0,0.1,0.0001,85.0,256,150,43,0.83906015351023,0.0998771283403038,0.8427873720716459,3.210497582971584
lr50_alpha03,False,1.0,1.0,0.1,3e-05,50.0,256,150,66,0.8417748223658672,0.05207941113039823,0.8426268897620347,4.94123125000624
lr50_batch512,False,1.0,1.0,0.1,0.0001,50.0,512,150,150,0.8411351994686972,0.023274755924940136,0.8419260278035865,10.984657708031591
lr50_style05,False,1.0,1.0,0.05,0.0001,50.0,256,150,72,0.8372089246590937,-0.037495920062065174,0.8407482869676122,5.638703750038985
lr50_alpha3,False,1.0,1.0,0.1,0.0003,50.0,256,150,141,0.8360846524420928,-0.01581377685302879,0.8371708126182624,11.040554916020483
